Title,Description,Priority,Estimate,Labels,Project
"Persist & save meetings to local storage","Save each meeting (audio reference, transcript, notes, metadata) to a local SQLite database so it survives an app restart. Foundation for search, memory and templates.",High,5,"core,memory","v1 · Phase 1 — Private core"
"Meeting library / history view","A list or timeline of past meetings; open one to view its transcript and notes.",High,3,"core,memory,ux","v1 · Phase 1 — Private core"
"Full-text search across transcripts & notes","Instant keyword search over every saved meeting.",High,3,"core,memory","v1 · Phase 1 — Private core"
"Organize meetings (folders, tags, by person/date)","Group and filter saved meetings.",Medium,3,"core,memory","v1 · Phase 1 — Private core"
"Editable rich-text notes","Let users edit and format the notes; changes persist.",High,3,"core,notes,ux","v1 · Phase 1 — Private core"
"Human-in-the-loop notes (jot then AI enhances)","User jots rough notes during the meeting; the AI expands them using the transcript. The core Granola/Char interaction pattern.",High,5,"core,notes","v1 · Phase 1 — Private core"
"Note templates (1-on-1, sales, interview, standup, lecture)","Selectable, customizable summary templates per meeting type.",Medium,3,"core,notes","v1 · Phase 1 — Private core"
"Custom vocabulary / jargon dictionary","Names, acronyms and jargon that improve transcription accuracy — and works in any language, unlike Granola.",High,3,"core,capture","v1 · Phase 1 — Private core"
"Recording controls (pause/resume, discard)","Pause and resume, discard a recording, and handle interruptions cleanly.",Medium,2,"core,capture,ux","v1 · Phase 1 — Private core"
"Remove temporary debug logging","Strip DebugLog.swift and the debugLog() calls that were left in the code before finalizing.",High,1,"core,cleanup","v1 · Phase 1 — Private core"
"Zero-config setup: embed & auto-download models","Bundle or auto-download the Whisper and LLM models so users never touch Ollama or a terminal. Key advantage over rough open-source tools.",High,5,"core,infra,ux","v1 · Phase 2 — Make it a product"
"Native-Mac polish: menu-bar app, global hotkey, onboarding","Menu-bar presence, a global start hotkey, and a clean first-run onboarding flow.",High,5,"core,ux","v1 · Phase 2 — Make it a product"
"Privacy indicator (nothing leaves your Mac)","A visible signal showing what stays local versus what is switched off. Turns privacy into a feature users can see.",Medium,2,"core,ux,trust","v1 · Phase 2 — Make it a product"
"Export (Markdown, PDF, clipboard)","Export or copy notes and transcript out of the app.",Medium,2,"core,ux","v1 · Phase 2 — Make it a product"
"Opt-in BYO-key LLM toggle","Optional setting to route summaries through a frontier model using the user's own API key. Off by default; proves the hybrid model and covers the local-quality gap.",Medium,3,"power,notes","v1 · Phase 2 — Make it a product"
"Swap ScreenCaptureKit for a Core Audio process tap","Move to audio-only capture to remove the recurring Screen Recording permission prompt.",Medium,5,"core,capture,infra","v1 · Phase 2 — Make it a product"
"Developer ID notarization & distribution setup","Sign, notarize and package the app for distribution outside the App Store.",High,3,"infra,launch","v1 · Phase 2 — Make it a product"
"Ask the meeting (local Q&A over transcript)","Answer questions about a past meeting locally — e.g. what did we decide about pricing.",Low,3,"power,notes","Backlog · Phase 3 — Opt-in intelligence"
"Cross-meeting knowledge memory","Recall people, recurring topics and decisions across meetings. Char's memory layer, local.",Low,5,"power,memory","Backlog · Phase 3 — Opt-in intelligence"
"Semantic search (local embeddings)","Find meetings by meaning, not just keywords, using on-device embeddings.",Low,5,"power,memory","Backlog · Phase 3 — Opt-in intelligence"
"Reshape / regenerate summary","Regenerate a summary shorter, longer, or in a different tone or format.",Low,2,"power,notes","Backlog · Phase 3 — Opt-in intelligence"
"Draft follow-up (copy-out)","Generate the follow-up email or message from the meeting; user copies it out, nothing is sent automatically.",Low,3,"power,agentic","Backlog · Phase 4 — Opt-in agentic"
"Morning brief / daily digest","A daily summary of open action items and upcoming meetings.",Low,3,"power,agentic","Backlog · Phase 4 — Opt-in agentic"
"Action-item tracking across meetings","A running task inbox that spans meetings.",Low,3,"power,agentic","Backlog · Phase 4 — Opt-in agentic"
"Inline suggestions","Contextual suggestions such as task rollover, recurrence and delegation.",Low,3,"power,agentic","Backlog · Phase 4 — Opt-in agentic"
"Calendar & Contacts integration","Pull meeting titles and attendees; use contacts for better speaker labels.",Low,3,"power,integrations","Backlog · Phase 5 — Opt-in integrations"
"Obsidian / Notion export","Push notes into the user's knowledge base.",Low,3,"power,integrations","Backlog · Phase 5 — Opt-in integrations"
"Slack / Gmail actions","Actually send the follow-up or post the summary. True external actions — the heaviest, and last.",Low,5,"power,integrations","Backlog · Phase 5 — Opt-in integrations"
"Encrypted cross-device sync (Mac to iPhone)","Sync meetings between devices with end-to-end encryption. Requires infrastructure.",Low,8,"power,integrations,infra","Backlog · Phase 5 — Opt-in integrations"
"In-person mode (single-mic diarization)","Separate two speakers sharing one microphone in the same room, not just calls.",Low,5,"core,capture","Backlog · Core polish (later)"
"Auto-detect meetings (Zoom/Meet/Teams)","Notice a call has started and offer to record it.",Low,3,"core,capture","Backlog · Core polish (later)"
"Apple-Silicon tuning (MLX / Neural Engine)","Optimize models for speed and battery on Apple Silicon.",Low,3,"core,infra,perf","Backlog · Core polish (later)"
